date,product_id,prod_type,sales_forecast,actual_sales
2025-05-10,SKU-0001,Electronics,10.02,9.64
2025-05-11,SKU-0001,Electronics,11.57,13.96
2025-05-12,SKU-0001,Electronics,6.55,3.22
2025-05-13,SKU-0001,Electronics,4.45,5.72
2025-05-14,SKU-0001,Electronics,5.91,0.53
2025-05-15,SKU-0001,Electronics,8.89,15.13
2025-05-16,SKU-0001,Electronics,8.1,10.2
2025-05-17,SKU-0001,Electronics,9.9,9.65
2025-05-18,SKU-0001,Electronics,11.98,11.25
2025-05-19,SKU-0001,Electronics,8.64,9.45
2025-05-20,SKU-0001,Electronics,6.77,9.25
2025-05-21,SKU-0001,Electronics,7.75,5.87
2025-05-22,SKU-0001,Electronics,9.18,6.93
2025-05-23,SKU-0001,Electronics,8.16,8.13
2025-05-24,SKU-0001,Electronics,11.89,13.08
2025-05-25,SKU-0001,Electronics,10.07,12.11
2025-05-26,SKU-0001,Electronics,10.87,12.27
2025-05-27,SKU-0001,Electronics,8.11,4.83
2025-05-28,SKU-0001,Electronics,5.96,5.2
2025-05-29,SKU-0001,Electronics,6.87,6.4
2025-05-30,SKU-0001,Electronics,8.2,9.52
2025-05-31,SKU-0001,Electronics,9.56,10.77
2025-06-01,SKU-0001,Electronics,10.23,5.29
2025-06-02,SKU-0001,Electronics,6.2,5.84
2025-06-03,SKU-0001,Electronics,5.66,7.16
2025-06-04,SKU-0001,Electronics,11.13,14.18
2025-06-05,SKU-0001,Electronics,7.64,11.37
2025-06-06,SKU-0001,Electronics,8.37,7.52
2025-06-07,SKU-0001,Electronics,8.45,7.7
2025-06-08,SKU-0001,Electronics,9.3,9.73
2025-06-09,SKU-0001,Electronics,8.38,8.39
2025-06-10,SKU-0001,Electronics,8.93,11.91
2025-06-11,SKU-0001,Electronics,9.95,6.24
2025-06-12,SKU-0001,Electronics,2.94,5.28
2025-06-13,SKU-0001,Electronics,5.32,4.75
2025-06-14,SKU-0001,Electronics,7.32,2.81
2025-06-15,SKU-0001,Electronics,11.14,13.04
2025-06-16,SKU-0001,Electronics,6.89,0.41
2025-06-17,SKU-0001,Electronics,6.95,7.93
2025-06-18,SKU-0001,Electronics,5.08,5.54
2025-06-19,SKU-0001,Electronics,8.0,9.45
2025-06-20,SKU-0001,Electronics,8.27,5.84
2025-06-21,SKU-0001,Electronics,12.03,11.63
2025-06-22,SKU-0001,Electronics,9.98,7.64
2025-06-23,SKU-0001,Electronics,7.14,4.92
2025-06-24,SKU-0001,Electronics,7.67,11.95
2025-06-25,SKU-0001,Electronics,5.27,1.24
2025-06-26,SKU-0001,Electronics,10.96,10.43
2025-06-27,SKU-0001,Electronics,6.67,9.27
2025-06-28,SKU-0001,Electronics,8.4,12.97
2025-06-29,SKU-0001,Electronics,11.36,10.14
2025-06-30,SKU-0001,Electronics,12.32,10.8
2025-07-01,SKU-0001,Electronics,9.49,10.23
2025-07-02,SKU-0001,Electronics,10.6,14.51
2025-07-03,SKU-0001,Electronics,8.06,6.18
2025-07-04,SKU-0001,Electronics,8.91,7.22
2025-07-05,SKU-0001,Electronics,13.62,13.96
2025-07-06,SKU-0001,Electronics,9.25,9.72
2025-07-07,SKU-0001,Electronics,5.29,2.86
2025-07-08,SKU-0001,Electronics,10.38,8.74
2025-07-09,SKU-0001,Electronics,5.89,7.23
2025-07-10,SKU-0001,Electronics,10.35,12.15
2025-07-11,SKU-0001,Electronics,9.97,8.07
2025-07-12,SKU-0001,Electronics,6.72,10.48
2025-07-13,SKU-0001,Electronics,9.32,8.69
2025-07-14,SKU-0001,Electronics,10.62,12.01
2025-07-15,SKU-0001,Electronics,8.87,14.29
2025-07-16,SKU-0001,Electronics,6.67,8.99
2025-07-17,SKU-0001,Electronics,8.07,8.74
2025-07-18,SKU-0001,Electronics,11.01,12.28
2025-07-19,SKU-0001,Electronics,10.62,13.3
2025-07-20,SKU-0001,Electronics,9.21,7.11
2025-07-21,SKU-0001,Electronics,5.86,0.94
2025-07-22,SKU-0001,Electronics,12.06,9.3
2025-07-23,SKU-0001,Electronics,7.5,6.81
2025-07-24,SKU-0001,Electronics,8.55,10.59
2025-07-25,SKU-0001,Electronics,9.66,8.2
2025-07-26,SKU-0001,Electronics,9.19,9.89
2025-07-27,SKU-0001,Electronics,9.42,13.44
2025-07-28,SKU-0001,Electronics,8.91,10.75
2025-07-29,SKU-0001,Electronics,9.25,12.19
2025-07-30,SKU-0001,Electronics,8.29,5.04
2025-07-31,SKU-0001,Electronics,8.72,7.09
2025-08-01,SKU-0001,Electronics,6.86,8.33
2025-08-02,SKU-0001,Electronics,11.98,12.03
2025-08-03,SKU-0001,Electronics,10.51,14.77
2025-08-04,SKU-0001,Electronics,8.39,14.9
2025-08-05,SKU-0001,Electronics,9.04,4.64
2025-08-06,SKU-0001,Electronics,9.41,10.37
2025-08-07,SKU-0001,Electronics,10.49,12.17
2025-08-08,SKU-0001,Electronics,7.63,4.57
2025-08-09,SKU-0001,Electronics,9.06,6.94
2025-08-10,SKU-0001,Electronics,8.71,10.18
2025-08-11,SKU-0001,Electronics,11.24,12.22
2025-08-12,SKU-0001,Electronics,5.5,6.61
2025-08-13,SKU-0001,Electronics,10.29,8.76
2025-08-14,SKU-0001,Electronics,7.62,7.66
2025-08-15,SKU-0001,Electronics,6.32,7.94
2025-08-16,SKU-0001,Electronics,9.22,10.27
2025-08-17,SKU-0001,Electronics,8.08,6.99
2025-08-18,SKU-0001,Electronics,9.33,8.4
2025-08-19,SKU-0001,Electronics,11.34,10.34
2025-08-20,SKU-0001,Electronics,8.33,10.66
2025-08-21,SKU-0001,Electronics,5.04,0.64
2025-08-22,SKU-0001,Electronics,4.82,7.98
2025-08-23,SKU-0001,Electronics,8.35,14.74
2025-08-24,SKU-0001,Electronics,8.71,9.17
2025-08-25,SKU-0001,Electronics,10.96,15.97
2025-08-26,SKU-0001,Electronics,11.99,15.01
2025-08-27,SKU-0001,Electronics,9.92,11.4
2025-08-28,SKU-0001,Electronics,9.42,8.05
2025-08-29,SKU-0001,Electronics,6.23,6.22
2025-08-30,SKU-0001,Electronics,9.1,7.96
2025-08-31,SKU-0001,Electronics,11.22,13.61
2025-09-01,SKU-0001,Electronics,8.04,11.73
2025-09-02,SKU-0001,Electronics,5.58,5.09
2025-09-03,SKU-0001,Electronics,6.42,1.76
2025-09-04,SKU-0001,Electronics,7.69,7.39
2025-09-05,SKU-0001,Electronics,10.88,12.46
2025-09-06,SKU-0001,Electronics,7.38,12.01
2025-09-07,SKU-0001,Electronics,12.26,13.71
2025-09-08,SKU-0001,Electronics,7.4,5.0
2025-09-09,SKU-0001,Electronics,7.11,9.83
2025-09-10,SKU-0001,Electronics,11.62,15.48
2025-09-11,SKU-0001,Electronics,6.87,4.07
2025-09-12,SKU-0001,Electronics,8.13,3.71
2025-09-13,SKU-0001,Electronics,10.06,9.69
2025-09-14,SKU-0001,Electronics,8.88,4.89
2025-09-15,SKU-0001,Electronics,8.87,7.54
2025-09-16,SKU-0001,Electronics,5.51,0.0
2025-09-17,SKU-0001,Electronics,7.79,12.22
2025-09-18,SKU-0001,Electronics,11.17,10.02
2025-09-19,SKU-0001,Electronics,6.64,7.81
2025-09-20,SKU-0001,Electronics,7.41,8.17
2025-09-21,SKU-0001,Electronics,11.33,14.4
2025-09-22,SKU-0001,Electronics,7.64,7.13
2025-09-23,SKU-0001,Electronics,6.09,4.02
2025-09-24,SKU-0001,Electronics,7.39,8.31
2025-09-25,SKU-0001,Electronics,9.67,7.66
2025-09-26,SKU-0001,Electronics,10.83,10.15
2025-09-27,SKU-0001,Electronics,9.37,7.5
2025-09-28,SKU-0001,Electronics,4.95,7.16
2025-09-29,SKU-0001,Electronics,9.31,8.61
2025-09-30,SKU-0001,Electronics,7.97,9.26
2025-01-01,SKU-0002,Electronics,4.88,3.56
2025-01-02,SKU-0002,Electronics,9.59,6.46
2025-01-03,SKU-0002,Electronics,8.6,5.2
2025-01-04,SKU-0002,Electronics,10.55,10.46
2025-01-05,SKU-0002,Electronics,6.79,9.7
2025-01-06,SKU-0002,Electronics,6.55,4.52
2025-01-07,SKU-0002,Electronics,8.42,11.29
2025-01-08,SKU-0002,Electronics,5.99,6.14
2025-01-09,SKU-0002,Electronics,8.88,10.62
2025-01-10,SKU-0002,Electronics,8.38,7.46
2025-01-11,SKU-0002,Electronics,7.98,8.2
2025-01-12,SKU-0002,Electronics,7.9,0.59
2025-01-13,SKU-0002,Electronics,8.91,11.17
2025-01-14,SKU-0002,Electronics,3.31,0.79
2025-01-15,SKU-0002,Electronics,9.28,14.42
2025-01-16,SKU-0002,Electronics,8.09,6.27
2025-01-17,SKU-0002,Electronics,7.68,11.12
2025-01-18,SKU-0002,Electronics,8.37,6.37
2025-01-19,SKU-0002,Electronics,9.1,6.72
2025-01-20,SKU-0002,Electronics,8.3,12.36
2025-01-21,SKU-0002,Electronics,8.7,8.07
2025-01-22,SKU-0002,Electronics,7.48,3.57
2025-01-23,SKU-0002,Electronics,9.83,9.63
2025-01-24,SKU-0002,Electronics,7.7,15.69
2025-01-25,SKU-0002,Electronics,10.28,8.4
2025-01-26,SKU-0002,Electronics,9.23,12.1
2025-01-27,SKU-0002,Electronics,8.3,4.7
2025-01-28,SKU-0002,Electronics,9.91,8.24
2025-01-29,SKU-0002,Electronics,11.82,14.52
2025-01-30,SKU-0002,Electronics,7.18,10.39
2025-01-31,SKU-0002,Electronics,8.22,10.35
2025-02-01,SKU-0002,Electronics,10.67,8.55
2025-02-02,SKU-0002,Electronics,8.82,11.4
2025-02-03,SKU-0002,Electronics,7.42,6.41
2025-02-04,SKU-0002,Electronics,6.18,7.24
2025-02-05,SKU-0002,Electronics,12.22,9.55
2025-02-06,SKU-0002,Electronics,8.14,11.67
2025-02-07,SKU-0002,Electronics,7.94,9.07
2025-02-08,SKU-0002,Electronics,7.59,8.67
2025-02-09,SKU-0002,Electronics,9.75,12.22
2025-02-10,SKU-0002,Electronics,10.48,16.95
2025-02-11,SKU-0002,Electronics,9.27,10.08
2025-02-12,SKU-0002,Electronics,8.5,7.61
2025-02-13,SKU-0002,Electronics,8.79,8.05
2025-02-14,SKU-0002,Electronics,8.45,11.74
2025-02-15,SKU-0002,Electronics,7.72,10.57
2025-02-16,SKU-0002,Electronics,12.78,12.48
2025-02-17,SKU-0002,Electronics,3.87,2.35
2025-02-18,SKU-0002,Electronics,10.71,10.66
2025-02-19,SKU-0002,Electronics,6.12,4.86
2025-02-20,SKU-0002,Electronics,9.8,11.17
2025-02-21,SKU-0002,Electronics,7.65,6.73
2025-02-22,SKU-0002,Electronics,8.97,6.66
2025-02-23,SKU-0002,Electronics,13.39,12.59
2025-02-24,SKU-0002,Electronics,10.56,14.37
2025-02-25,SKU-0002,Electronics,10.13,9.05
2025-02-26,SKU-0002,Electronics,8.94,8.88
2025-02-27,SKU-0002,Electronics,6.33,7.14
2025-02-28,SKU-0002,Electronics,5.78,8.75
2025-03-01,SKU-0002,Electronics,8.84,9.34
2025-03-02,SKU-0002,Electronics,10.74,10.09
2025-03-03,SKU-0002,Electronics,9.31,8.13
2025-03-04,SKU-0002,Electronics,9.88,6.52
2025-03-05,SKU-0002,Electronics,8.4,13.24
2025-03-06,SKU-0002,Electronics,6.14,4.45
2025-03-07,SKU-0002,Electronics,9.17,9.62
2025-03-08,SKU-0002,Electronics,10.48,11.7
2025-03-09,SKU-0002,Electronics,11.45,14.23
2025-03-10,SKU-0002,Electronics,8.97,8.36
2025-03-11,SKU-0002,Electronics,9.49,14.24
2025-03-12,SKU-0002,Electronics,7.89,5.45
2025-03-13,SKU-0002,Electronics,10.37,10.06
2025-03-14,SKU-0002,Electronics,3.81,5.93
2025-03-15,SKU-0002,Electronics,8.71,8.49
2025-03-16,SKU-0002,Electronics,10.86,11.33
2025-03-17,SKU-0002,Electronics,9.57,8.48
2025-03-18,SKU-0002,Electronics,9.18,8.53
2025-03-19,SKU-0002,Electronics,9.63,11.17
2025-03-20,SKU-0002,Electronics,6.29,9.0
2025-03-21,SKU-0002,Electronics,7.09,9.11
2025-03-22,SKU-0002,Electronics,10.52,15.12
2025-03-23,SKU-0002,Electronics,9.75,8.88
2025-03-24,SKU-0002,Electronics,8.12,7.36
2025-03-25,SKU-0002,Electronics,9.76,5.72
2025-03-26,SKU-0002,Electronics,6.05,3.38
2025-03-27,SKU-0002,Electronics,10.06,14.34
2025-03-28,SKU-0002,Electronics,7.95,7.53
2025-03-29,SKU-0002,Electronics,9.93,12.84
2025-03-30,SKU-0002,Electronics,8.35,8.94
2025-03-31,SKU-0002,Electronics,10.11,11.36
2025-04-01,SKU-0002,Electronics,8.54,11.04
2025-04-02,SKU-0002,Electronics,2.75,4.45
2025-04-03,SKU-0002,Electronics,6.85,2.28
2025-04-04,SKU-0002,Electronics,9.18,12.62
2025-04-05,SKU-0002,Electronics,9.52,11.9
2025-04-06,SKU-0002,Electronics,13.42,16.71
2025-04-07,SKU-0002,Electronics,11.44,13.29
2025-04-08,SKU-0002,Electronics,8.31,4.3
2025-04-09,SKU-0002,Electronics,7.67,5.56
2025-04-10,SKU-0002,Electronics,12.5,12.06
2025-04-11,SKU-0002,Electronics,8.4,9.78
2025-04-12,SKU-0002,Electronics,9.88,14.11
2025-04-13,SKU-0002,Electronics,8.95,9.44
2025-04-14,SKU-0002,Electronics,6.67,3.37
2025-04-15,SKU-0002,Electronics,6.93,6.84
2025-04-16,SKU-0002,Electronics,7.3,5.57
2025-04-17,SKU-0002,Electronics,5.34,5.13
2025-04-18,SKU-0002,Electronics,5.14,7.04
2025-04-19,SKU-0002,Electronics,9.95,6.3
2025-04-20,SKU-0002,Electronics,9.57,7.69
2025-04-21,SKU-0002,Electronics,8.79,12.14
2025-04-22,SKU-0002,Electronics,4.4,4.69
2025-04-23,SKU-0002,Electronics,7.83,9.51
2025-04-24,SKU-0002,Electronics,8.57,6.69
2025-04-25,SKU-0002,Electronics,7.51,5.52
2025-04-26,SKU-0002,Electronics,11.93,11.98
2025-04-27,SKU-0002,Electronics,13.98,13.83
2025-04-28,SKU-0002,Electronics,6.73,2.94
2025-04-29,SKU-0002,Electronics,4.54,0.58
2025-04-30,SKU-0002,Electronics,8.68,9.95
2025-05-01,SKU-0002,Electronics,4.98,7.21
2025-05-02,SKU-0002,Electronics,7.17,7.54
2025-05-03,SKU-0002,Electronics,12.99,15.23
2025-05-04,SKU-0002,Electronics,9.63,7.4
2025-05-05,SKU-0002,Electronics,3.83,2.03
2025-05-06,SKU-0002,Electronics,7.71,5.24
2025-05-07,SKU-0002,Electronics,7.87,8.06
2025-05-08,SKU-0002,Electronics,7.68,6.05
2025-05-09,SKU-0002,Electronics,8.46,9.57
2025-05-10,SKU-0002,Electronics,7.57,11.1
2025-05-11,SKU-0002,Electronics,9.96,10.0
2025-05-12,SKU-0002,Electronics,9.54,10.12
2025-05-13,SKU-0002,Electronics,10.03,10.74
2025-05-14,SKU-0002,Electronics,6.89,7.8
2025-05-15,SKU-0002,Electronics,5.83,6.1
2025-05-16,SKU-0002,Electronics,8.05,7.53
2025-05-17,SKU-0002,Electronics,9.48,4.77
2025-05-18,SKU-0002,Electronics,9.04,9.27
2025-05-19,SKU-0002,Electronics,8.43,5.86
2025-05-20,SKU-0002,Electronics,10.64,8.47
2025-05-21,SKU-0002,Electronics,10.04,11.11
2025-05-22,SKU-0002,Electronics,6.81,11.25
2025-05-23,SKU-0002,Electronics,5.71,8.01
2025-05-24,SKU-0002,Electronics,11.72,10.04
2025-05-25,SKU-0002,Electronics,12.91,12.28
2025-05-26,SKU-0002,Electronics,8.67,9.32
2025-05-27,SKU-0002,Electronics,7.82,9.85
2025-05-28,SKU-0002,Electronics,9.68,5.31
2025-05-29,SKU-0002,Electronics,10.7,6.54
2025-05-30,SKU-0002,Electronics,10.15,12.97
2025-05-31,SKU-0002,Electronics,7.52,6.49
2025-06-01,SKU-0002,Electronics,7.89,7.35
2025-06-02,SKU-0002,Electronics,7.46,9.41
2025-06-03,SKU-0002,Electronics,10.7,14.19
2025-06-04,SKU-0002,Electronics,6.95,6.43
2025-06-05,SKU-0002,Electronics,4.7,2.69
2025-06-06,SKU-0002,Electronics,10.0,14.04
2025-06-07,SKU-0002,Electronics,7.21,5.73
2025-06-08,SKU-0002,Electronics,10.03,10.73
2025-06-09,SKU-0002,Electronics,6.44,7.5
2025-06-10,SKU-0002,Electronics,7.11,7.07
2025-06-11,SKU-0002,Electronics,9.15,9.16
2025-06-12,SKU-0002,Electronics,7.18,6.91
2025-06-13,SKU-0002,Electronics,7.87,6.95
2025-06-14,SKU-0002,Electronics,9.14,13.14
2025-06-15,SKU-0002,Electronics,11.18,10.44
2025-06-16,SKU-0002,Electronics,9.44,8.6
2025-06-17,SKU-0002,Electronics,10.39,11.31
2025-06-18,SKU-0002,Electronics,7.82,8.94
2025-06-19,SKU-0002,Electronics,4.89,2.08
2025-06-20,SKU-0002,Electronics,5.64,6.0
2025-06-21,SKU-0002,Electronics,13.1,18.68
2025-06-22,SKU-0002,Electronics,11.31,12.56
2025-06-23,SKU-0002,Electronics,4.42,3.06
2025-06-24,SKU-0002,Electronics,6.45,4.89
2025-06-25,SKU-0002,Electronics,7.68,6.5
2025-06-26,SKU-0002,Electronics,4.06,5.93
2025-06-27,SKU-0002,Electronics,5.87,6.47
2025-06-28,SKU-0002,Electronics,13.76,11.46
2025-06-29,SKU-0002,Electronics,4.95,4.23
2025-06-30,SKU-0002,Electronics,10.21,15.1
2025-07-01,SKU-0002,Electronics,5.54,6.78
2025-07-02,SKU-0002,Electronics,7.07,6.8
2025-07-03,SKU-0002,Electronics,13.28,9.53
2025-07-04,SKU-0002,Electronics,8.5,9.67
2025-07-05,SKU-0002,Electronics,11.76,12.0
2025-07-06,SKU-0002,Electronics,10.6,9.62
2025-07-07,SKU-0002,Electronics,8.52,7.67
2025-07-08,SKU-0002,Electronics,9.23,8.3
2025-07-09,SKU-0002,Electronics,8.73,8.66
2025-07-10,SKU-0002,Electronics,10.23,10.1
2025-07-11,SKU-0002,Electronics,4.43,7.58
2025-07-12,SKU-0002,Electronics,7.75,6.12
2025-07-13,SKU-0002,Electronics,8.77,12.21
2025-07-14,SKU-0002,Electronics,3.69,11.54
2025-07-15,SKU-0002,Electronics,10.08,10.63
2025-07-16,SKU-0002,Electronics,7.85,8.56
2025-07-17,SKU-0002,Electronics,9.0,10.61
2025-07-18,SKU-0002,Electronics,9.07,9.29
2025-07-19,SKU-0002,Electronics,9.15,8.77
2025-07-20,SKU-0002,Electronics,9.55,12.38
2025-07-21,SKU-0002,Electronics,9.13,1.78
2025-07-22,SKU-0002,Electronics,9.26,9.74
2025-07-23,SKU-0002,Electronics,7.9,6.93
2025-07-24,SKU-0002,Electronics,10.19,12.56
2025-07-25,SKU-0002,Electronics,6.39,7.41
2025-07-26,SKU-0002,Electronics,7.58,4.13
2025-07-27,SKU-0002,Electronics,8.66,10.82
2025-07-28,SKU-0002,Electronics,9.84,11.12
2025-07-29,SKU-0002,Electronics,9.38,10.67
2025-07-30,SKU-0002,Electronics,6.64,7.72
2025-07-31,SKU-0002,Electronics,9.52,11.41
2025-08-01,SKU-0002,Electronics,10.3,12.07
2025-08-02,SKU-0002,Electronics,10.2,12.88
2025-08-03,SKU-0002,Electronics,9.84,7.64
2025-08-04,SKU-0002,Electronics,7.59,5.72
2025-08-05,SKU-0002,Electronics,6.56,6.2
2025-08-06,SKU-0002,Electronics,6.32,5.55
2025-08-07,SKU-0002,Electronics,4.12,4.65
2025-08-08,SKU-0002,Electronics,7.91,5.86
2025-08-09,SKU-0002,Electronics,10.8,13.14
2025-08-10,SKU-0002,Electronics,6.66,4.75
2025-08-11,SKU-0002,Electronics,6.36,4.01
2025-08-12,SKU-0002,Electronics,9.55,9.07
2025-08-13,SKU-0002,Electronics,7.36,2.35
2025-08-14,SKU-0002,Electronics,9.16,6.06
2025-08-15,SKU-0002,Electronics,8.01,8.7
2025-08-16,SKU-0002,Electronics,12.19,8.91
2025-08-17,SKU-0002,Electronics,3.82,4.28
2025-08-18,SKU-0002,Electronics,11.48,14.58
2025-08-19,SKU-0002,Electronics,8.3,7.07
2025-08-20,SKU-0002,Electronics,9.49,7.06
2025-08-21,SKU-0002,Electronics,8.83,10.09
2025-08-22,SKU-0002,Electronics,10.0,16.9
2025-08-23,SKU-0002,Electronics,10.23,8.96
2025-08-24,SKU-0002,Electronics,9.79,5.37
2025-08-25,SKU-0002,Electronics,6.48,5.46
2025-08-26,SKU-0002,Electronics,6.82,7.2
2025-08-27,SKU-0002,Electronics,6.22,9.03
2025-08-28,SKU-0002,Electronics,7.87,7.84
2025-08-29,SKU-0002,Electronics,7.21,7.6
2025-08-30,SKU-0002,Electronics,11.09,8.92
2025-08-31,SKU-0002,Electronics,8.51,7.75
